Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph09,3,1,358893,153752,17.938570022583008,8
graph09,3,1,293983,121432,11.720086812973022,8
graph09,3,1,357094,153752,17.817891120910645,8
graph09,3,1,615965,246488,51.28312087059021,8
graph09,3,1,321627,136632,13.995151996612549,8
graph09,3,1,441877,173016,26.43470788002014,8
graph09,3,1,436592,173016,25.797363996505737,8
graph09,3,1,510701,219064,35.21993279457092,8
graph09,3,1,366393,153752,18.159924030303955,8
graph09,3,1,460412,194680,28.578278064727783,8
graph09,3,1,619087,246488,51.65002489089966,8
graph09,3,1,538705,219064,39.15729308128357,8
graph09,3,1,367097,153752,18.196699857711792,8
graph09,3,1,526919,219064,38.7141330242157,8
graph09,3,1,207741,85176,5.818312168121338,8
graph09,3,1,373472,153752,18.854013204574585,8
graph09,3,1,344793,136632,16.059197902679443,8
graph09,3,1,460058,194680,28.617076873779297,8
graph09,3,1,368018,153752,18.28267788887024,8
graph09,3,1,350123,136632,16.588579177856445,8
graph09,3,1,533458,219064,38.4558379650116,8
graph09,3,1,512058,219064,35.46145415306091,8
graph09,3,1,605540,246488,49.516974210739136,8
graph09,3,1,541432,219064,39.597068786621094,8
graph09,3,1,597147,246488,48.16428232192993,8
graph09,3,1,476046,194680,30.64591407775879,8
graph09,3,1,345265,136632,16.115285873413086,8
graph09,3,1,341999,136632,15.79575800895691,8
graph09,3,1,471598,194680,30.062690019607544,8
graph09,3,1,410484,173016,22.742621898651123,8
graph09,3,1,605101,246488,49.47237992286682,8
graph09,3,1,258718,107896,9.04384708404541,8
graph09,3,1,219471,85176,6.509223222732544,8
graph09,3,1,448565,194680,27.167423009872437,8
graph09,3,1,255115,107896,8.783714056015015,8
graph09,3,1,317607,136632,13.628390789031982,8
graph09,3,1,525758,219064,37.32368206977844,8
graph09,3,1,519396,219064,36.44523787498474,8
graph09,3,1,578058,246488,45.182628870010376,8
graph09,3,1,431329,173016,25.125133275985718,8
graph09,3,1,291410,121432,11.47267198562622,8
graph09,3,1,435158,173016,25.58011484146118,8
graph09,3,1,280035,121432,10.584670066833496,8
graph09,3,1,299065,121432,12.080754280090332,8
graph09,3,1,480399,194680,31.16363525390625,8
graph09,3,1,533700,219064,38.41940999031067,8
graph09,3,1,531821,219064,38.18132996559143,8
graph09,3,1,373597,153752,18.88268518447876,8
graph09,3,1,374942,153752,18.988702058792114,8
graph09,3,1,426452,173016,24.560347318649292,8
graph09,3,1,508071,219064,34.86581015586853,8
graph09,3,1,551593,219064,41.12734007835388,8
graph09,3,1,555302,219064,41.62985396385193,8
graph09,3,1,504773,219064,34.43070602416992,8
graph09,3,1,407160,173016,22.385621070861816,8
graph09,3,1,619240,246488,51.82280111312866,8
graph09,3,1,428594,173016,24.79903483390808,8
graph09,3,1,413043,173016,23.027251958847046,8
graph09,3,1,494531,194680,33.04153609275818,8
graph09,3,1,422569,173016,24.11554479598999,8
graph09,3,1,357197,153752,17.244477033615112,8
graph09,3,1,332437,136632,14.925625801086426,8
graph09,3,1,428192,173016,24.76670789718628,8
graph09,3,1,444391,173016,26.689212799072266,8
graph09,3,1,554366,219064,41.534000873565674,8
graph09,3,1,381314,153752,19.65903377532959,8
graph09,3,1,558092,219064,42.04986906051636,8
graph09,3,1,358316,153752,17.36932611465454,8
graph09,3,1,378654,153752,19.356698036193848,8
graph09,3,1,382534,153752,19.76236391067505,8
graph09,3,1,317496,136632,13.610459804534912,8
graph09,3,1,610583,246488,50.370832204818726,8
graph09,3,1,437488,173016,25.84860897064209,8
graph09,3,1,282199,121432,11.107810020446777,8
graph09,3,1,505476,219064,34.55014419555664,8
graph09,3,1,606855,246488,49.69694209098816,8
graph09,3,1,207861,85176,5.837652921676636,8
graph09,3,1,281327,121432,10.688917875289917,8
graph09,3,1,483976,194680,31.631610870361328,8
graph09,3,1,228842,95864,7.071810960769653,8
graph09,3,1,253630,107896,8.705165147781372,8
graph09,3,1,393514,153752,20.90555191040039,8
graph09,3,1,384178,153752,20.112242937088013,8
graph09,3,1,537387,219064,40.28099703788757,8
graph09,3,1,427196,173016,24.649773836135864,8
graph09,3,1,245584,95864,8.140462160110474,8
graph09,3,1,290141,121432,11.365284204483032,8
graph09,3,1,375442,153752,19.026222229003906,8
graph09,3,1,393708,153752,20.956089973449707,8
graph09,3,1,254911,107896,8.768183946609497,8
graph09,3,1,339461,136632,15.575973987579346,8
graph09,3,1,529374,219064,37.86254596710205,8
graph09,3,1,567581,246488,43.50262498855591,8
graph09,3,1,227805,95864,7.006271123886108,8
graph09,3,1,287088,121432,11.116899728775024,8
graph09,3,1,570636,246488,44.01951503753662,8
graph09,3,1,405873,173016,22.25679588317871,8
graph09,3,1,505029,219064,34.463728189468384,8
graph09,3,1,577368,246488,44.974037170410156,8
graph09,3,1,481263,194680,31.262105703353882,8
