Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph01,1,1,119607,153752,5.7559239864349365,0
graph01,1,1,98027,121432,3.8281052112579346,0
graph01,1,1,119031,153752,5.688480854034424,0
graph01,1,1,205298,246488,16.926947832107544,0
graph01,1,1,107253,136632,4.609534978866577,0
graph01,1,1,147338,173016,8.728142738342285,0
graph01,1,1,145521,173016,8.43626093864441,0
graph01,1,1,170185,219064,11.662704944610596,0
graph01,1,1,122108,153752,5.992670059204102,0
graph01,1,1,153483,194680,9.801374912261963,0
graph01,1,1,206339,246488,17.04317593574524,0
graph01,1,1,179529,219064,13.502482175827026,0
graph01,1,1,122337,153752,6.025221109390259,0
graph01,1,1,175667,219064,12.451201677322388,0
graph01,1,1,69223,85176,1.9172489643096924,0
graph01,1,1,124500,153752,6.241067171096802,0
graph01,1,1,114924,136632,5.340145111083984,0
graph01,1,1,153338,194680,9.476408243179321,0
graph01,1,1,122679,153752,6.083965063095093,0
graph01,1,1,116727,136632,5.537531852722168,0
graph01,1,1,177806,219064,13.002668142318726,0
graph01,1,1,170721,219064,11.82282018661499,0
graph01,1,1,201852,246488,16.522449731826782,0
graph01,1,1,180460,219064,13.234533071517944,0
graph01,1,1,199043,246488,16.054269313812256,0
graph01,1,1,158654,194680,10.420010089874268,0
graph01,1,1,115105,136632,5.415733098983765,0
graph01,1,1,113962,136632,5.288713216781616,0
graph01,1,1,157224,194680,9.993946075439453,0
graph01,1,1,136799,173016,7.5999979972839355,0
graph01,1,1,201688,246488,16.474889993667603,0
graph01,1,1,86207,107896,3.0234928131103516,0
graph01,1,1,73170,85176,2.1652491092681885,0
graph01,1,1,149522,194680,9.11549186706543,0
graph01,1,1,85059,107896,2.929666757583618,0
graph01,1,1,105877,136632,4.560046911239624,0
graph01,1,1,175258,219064,12.433387994766235,0
graph01,1,1,173103,219064,12.165663957595825,0
graph01,1,1,192755,246488,15.053186655044556,0
graph01,1,1,143779,173016,8.394263982772827,0
graph01,1,1,97141,121432,3.8204410076141357,0
graph01,1,1,145010,173016,8.5573251247406,0
graph01,1,1,93415,121432,3.5226051807403564,0
graph01,1,1,99634,121432,4.029763221740723,0
graph01,1,1,160208,194680,10.381397008895874,0
graph01,1,1,177892,219064,13.047661781311035,0
graph01,1,1,177275,219064,12.731355905532837,0
graph01,1,1,124527,153752,6.298115015029907,0
graph01,1,1,124942,153752,6.3268141746521,0
graph01,1,1,142194,173016,8.21890902519226,0
graph01,1,1,169368,219064,11.599161863327026,0
graph01,1,1,183929,219064,13.722035884857178,0
graph01,1,1,185048,219064,13.893217086791992,0
graph01,1,1,168297,219064,11.533234357833862,0
graph01,1,1,135669,173016,7.4837400913238525,0
graph01,1,1,206448,246488,17.301761150360107,0
graph01,1,1,142863,173016,8.265437841415405,0
graph01,1,1,137667,173016,7.699066877365112,0
graph01,1,1,164834,194680,10.972684860229492,0
graph01,1,1,140888,173016,8.0609290599823,0
graph01,1,1,119049,153752,5.743125915527344,0
graph01,1,1,110845,136632,4.987926959991455,0
graph01,1,1,142722,173016,8.257452964782715,0
graph01,1,1,148112,173016,8.906308889389038,0
graph01,1,1,184750,219064,13.834211111068726,0
graph01,1,1,127105,153752,6.584733963012695,0
graph01,1,1,186046,219064,14.050129890441895,0
graph01,1,1,119446,153752,5.794216156005859,0
graph01,1,1,126158,153752,6.450474977493286,0
graph01,1,1,127519,153752,6.614242076873779,0
graph01,1,1,105834,136632,4.566790819168091,0
graph01,1,1,203500,246488,16.83277916908264,0
graph01,1,1,145832,173016,8.624526977539062,0
graph01,1,1,94074,121432,3.5990922451019287,0
graph01,1,1,168469,219064,11.514088869094849,0
graph01,1,1,202272,246488,16.658555030822754,0
graph01,1,1,69276,85176,1.944885015487671,0
graph01,1,1,93761,121432,3.5745668411254883,0
graph01,1,1,161296,194680,10.53929328918457,0
graph01,1,1,76315,95864,2.367436647415161,0
graph01,1,1,84497,107896,2.895890235900879,0
graph01,1,1,131183,153752,6.9914350509643555,0
graph01,1,1,128075,153752,6.638080835342407,0
graph01,1,1,179112,219064,13.041958093643188,0
graph01,1,1,142374,173016,8.20576524734497,0
graph01,1,1,81826,95864,2.726166009902954,0
graph01,1,1,96670,121432,3.7837393283843994,0
graph01,1,1,125176,153752,6.367869138717651,0
graph01,1,1,131251,153752,6.976117134094238,0
graph01,1,1,84983,107896,2.9369537830352783,0
graph01,1,1,113161,136632,5.18917989730835,0
graph01,1,1,176432,219064,12.655118942260742,0
graph01,1,1,189234,246488,14.490767002105713,0
graph01,1,1,75995,95864,2.4490768909454346,0
graph01,1,1,95678,121432,3.7135868072509766,0
graph01,1,1,190230,246488,14.70195198059082,0
graph01,1,1,135276,173016,7.431122303009033,0
graph01,1,1,168371,219064,11.488842964172363,0
graph01,1,1,192440,246488,15.000114917755127,0
graph01,1,1,160366,194680,10.541419982910156,0
graph02,1,1,119607,50193,0.023446083068847656,1
graph02,1,1,98027,41345,0.018177032470703125,1
graph02,1,1,119031,49953,0.02284526824951172,1
graph02,1,1,205298,85329,0.04019618034362793,1
graph02,1,1,107253,45137,0.01949286460876465,1
graph02,1,1,147338,61617,0.027799129486083984,1
graph02,1,1,145521,60881,0.027624130249023438,1
graph02,1,1,170185,70961,0.0322723388671875,1
graph02,1,1,122108,51137,0.022775888442993164,1
graph02,1,1,153483,64097,0.02924180030822754,1
graph02,1,1,206339,85777,0.04021191596984863,1
graph02,1,1,179529,74753,0.03440999984741211,1
graph02,1,1,122337,51329,0.02288508415222168,1
graph02,1,1,175667,73153,0.03338503837585449,1
graph02,1,1,69223,29473,0.012344121932983398,1
graph02,1,1,124500,52145,0.02348804473876953,1
graph02,1,1,114924,48193,0.021458864212036133,1
graph02,1,1,153338,64033,0.036614179611206055,1
graph02,1,1,122679,51489,0.023834943771362305,1
graph02,1,1,116727,48993,0.021916866302490234,1
graph02,1,1,177806,74049,0.03496193885803223,1
graph02,1,1,170721,71105,0.03378105163574219,1
graph02,1,1,201852,83969,0.039682865142822266,1
graph02,1,1,180460,75185,0.0351560115814209,1
