Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph07,3,1,358893,115185,31.24372363090515,6
graph07,3,1,293983,97089,24.412497997283936,6
graph07,3,1,357094,114689,33.37645649909973,6
graph07,3,1,615965,180945,89.14090704917908,6
graph07,3,1,321627,104593,25.72254180908203,6
graph07,3,1,441877,137041,48.42921233177185,6
graph07,3,1,436592,135537,46.02270698547363,6
graph07,3,1,510701,155009,62.385077238082886,6
graph07,3,1,366393,117281,35.499990940093994,6
graph07,3,1,460412,142177,52.86720585823059,6
graph07,3,1,619087,181857,93.87158560752869,6
graph07,3,1,538705,161825,68.66172933578491,6
graph07,3,1,367097,117361,35.38519048690796,6
graph07,3,1,526919,158865,66.19756579399109,6
graph07,3,1,207741,71825,12.055268049240112,6
graph07,3,1,373472,119249,32.973817348480225,6
graph07,3,1,344793,111137,30.308706045150757,6
graph07,3,1,460058,141633,53.01919865608215,6
graph07,3,1,368018,117585,32.32846546173096,6
graph07,3,1,350123,112449,32.36476182937622,6
graph07,3,1,533458,160625,67.78153777122498,6
graph07,3,1,512058,155185,64.54833912849426,6
graph07,3,1,605540,178161,88.20391893386841,6
graph07,3,1,541432,162369,72.39410829544067,6
graph07,3,1,597147,176273,86.47077226638794,6
graph07,3,1,476046,145585,56.59200930595398,6
graph07,3,1,345265,111553,31.528076887130737,6
graph07,3,1,341999,110417,30.911937713623047,6
graph07,3,1,471598,144641,53.93576216697693,6
graph07,3,1,410484,128833,39.51028871536255,6
graph07,3,1,605101,178449,88.31781196594238,6
graph07,3,1,258718,86849,19.289986610412598,6
graph07,3,1,219471,75265,14.006322145462036,6
graph07,3,1,448565,138545,48.02355480194092,6
graph07,3,1,255115,85985,18.968949794769287,6
graph07,3,1,317607,103985,26.15907883644104,6
graph07,3,1,525758,158609,66.29387044906616,6
graph07,3,1,519396,157249,62.88229060173035,6
graph07,3,1,578058,171089,81.58386492729187,6
graph07,3,1,431329,134369,47.11923384666443,6
graph07,3,1,291410,96561,20.44324231147766,6
graph07,3,1,435158,135457,44.53119373321533,6
graph07,3,1,280035,92977,22.101574420928955,6
graph07,3,1,299065,98481,23.73921513557434,6
graph07,3,1,480399,146977,54.93865990638733,6
graph07,3,1,533700,160369,68.77883911132812,6
graph07,3,1,531821,159873,68.5146095752716,6
graph07,3,1,373597,119297,36.05227851867676,6
graph07,3,1,374942,119441,35.170679807662964,6
graph07,3,1,426452,132945,43.15243482589722,6
graph07,3,1,508071,154049,63.521432399749756,6
graph07,3,1,551593,164641,72.82048511505127,6
graph07,3,1,555302,165585,72.57113265991211,6
graph07,3,1,504773,153297,61.60457229614258,6
graph07,3,1,407160,127937,38.99747920036316,6
graph07,3,1,619240,182225,92.55331444740295,6
graph07,3,1,428594,133697,43.194183588027954,6
graph07,3,1,413043,129393,41.17983531951904,6
graph07,3,1,494531,151009,60.96915650367737,6
graph07,3,1,422569,131921,45.065598249435425,6
graph07,3,1,357197,114673,33.43458318710327,6
graph07,3,1,332437,107777,27.347713708877563,6
graph07,3,1,428192,133761,43.21410846710205,6
graph07,3,1,444391,137553,49.365939140319824,6
graph07,3,1,554366,165201,71.51976943016052,6
graph07,3,1,381314,121185,37.29624676704407,6
graph07,3,1,558092,166705,73.59108352661133,6
graph07,3,1,358316,115137,33.761258125305176,6
graph07,3,1,378654,120401,35.840149879455566,6
graph07,3,1,382534,121537,37.51537036895752,6
graph07,3,1,317496,103905,25.11513042449951,6
graph07,3,1,610583,179777,89.58498573303223,6
graph07,3,1,437488,135569,48.42895555496216,6
graph07,3,1,282199,93889,19.45425796508789,6
graph07,3,1,505476,153665,62.117088317871094,6
graph07,3,1,606855,179057,87.19157195091248,6
graph07,3,1,207861,71697,12.900906562805176,6
graph07,3,1,281327,93329,21.188709259033203,6
graph07,3,1,483976,148033,57.93742513656616,6
graph07,3,1,228842,78097,16.11184310913086,6
graph07,3,1,253630,85745,18.7029709815979,6
graph07,3,1,393514,124417,39.48229360580444,6
graph07,3,1,384178,121569,34.890259981155396,6
graph07,3,1,537387,161441,67.70115113258362,6
graph07,3,1,427196,133057,44.79736065864563,6
graph07,3,1,245584,82977,17.924843788146973,6
graph07,3,1,290141,95905,22.709144353866577,6
graph07,3,1,375442,119473,36.98330640792847,6
graph07,3,1,393708,124273,37.69986176490784,6
graph07,3,1,254911,85841,16.02098536491394,6
graph07,3,1,339461,109649,29.5762836933136,6
graph07,3,1,529374,159521,68.04539465904236,6
graph07,3,1,567581,168673,78.91871666908264,6
graph07,3,1,227805,78017,13.072635889053345,6
graph07,3,1,287088,95201,21.126725912094116,6
graph07,3,1,570636,169025,78.92746305465698,6
graph07,3,1,405873,127713,42.0354483127594,6
graph07,3,1,505029,153441,59.409310817718506,6
graph07,3,1,577368,171009,81.59415578842163,6
graph07,3,1,481263,147505,57.2456157207489,6
