Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph01,1,1,119607,136753,12.566415786743164,0
graph01,1,1,98027,112081,8.683379650115967,0
graph01,1,1,119031,136097,10.803508281707764,0
graph01,1,1,205298,234705,32.161754846572876,0
graph01,1,1,107253,122609,8.93259596824646,0
graph01,1,1,147338,168433,18.046796321868896,0
graph01,1,1,145521,166369,16.974866151809692,0
graph01,1,1,170185,194561,24.16475820541382,0
graph01,1,1,122108,139601,14.32250428199768,0
graph01,1,1,153483,175473,17.933658361434937,0
graph01,1,1,206339,235857,32.393622398376465,0
graph01,1,1,179529,205249,25.625230312347412,0
graph01,1,1,122337,139873,13.244910478591919,0
graph01,1,1,175667,200833,25.281599760055542,0
graph01,1,1,69223,79153,7.3017637729644775,0
graph01,1,1,124500,142321,13.720549821853638,0
graph01,1,1,114924,131409,12.203214645385742,0
graph01,1,1,153338,175281,19.204277515411377,0
graph01,1,1,122679,140257,14.470658540725708,0
graph01,1,1,116727,133425,12.550969362258911,0
graph01,1,1,177806,203281,24.224903106689453,0
graph01,1,1,170721,195153,21.451261520385742,0
graph01,1,1,201852,230753,29.409371614456177,0
graph01,1,1,180460,206273,26.852928161621094,0
graph01,1,1,199043,227537,30.750511169433594,0
graph01,1,1,158654,181377,19.39143443107605,0
graph01,1,1,115105,131585,13.257106065750122,0
graph01,1,1,113962,130321,13.042128324508667,0
graph01,1,1,157224,179729,18.032635927200317,0
graph01,1,1,136799,156417,15.80089020729065,0
graph01,1,1,201688,230577,30.11451029777527,0
graph01,1,1,86207,98577,7.055727481842041,0
graph01,1,1,73170,83665,7.642520189285278,0
graph01,1,1,149522,170913,17.29455590248108,0
graph01,1,1,85059,97249,7.9332029819488525,0
graph01,1,1,105877,121073,9.693826913833618,0
graph01,1,1,175258,200353,23.236619472503662,0
graph01,1,1,173103,197889,24.615079641342163,0
graph01,1,1,192755,220321,26.487537384033203,0
graph01,1,1,143779,164369,16.37314486503601,0
graph01,1,1,97141,111073,10.53689193725586,0
graph01,1,1,145010,165777,15.542181730270386,0
graph01,1,1,93415,106785,6.965426445007324,0
graph01,1,1,99634,113921,10.933923482894897,0
graph01,1,1,160208,183105,19.834940195083618,0
graph01,1,1,177892,203361,25.875016450881958,0
graph01,1,1,177275,202657,22.713148593902588,0
graph01,1,1,124527,142353,12.699652433395386,0
graph01,1,1,124942,142833,12.662118673324585,0
graph01,1,1,142194,162545,17.973013639450073,0
graph01,1,1,169368,193617,23.07518768310547,0
graph01,1,1,183929,210273,27.860353231430054,0
graph01,1,1,185048,211569,24.68514633178711,0
graph01,1,1,168297,192401,21.508320569992065,0
graph01,1,1,135669,155105,14.675496816635132,0
graph01,1,1,206448,235985,33.61049509048462,0
graph01,1,1,142863,163297,15.018892049789429,0
graph01,1,1,137667,157361,15.300140857696533,0
graph01,1,1,164834,188449,21.95905613899231,0
graph01,1,1,140888,161057,17.89405584335327,0
graph01,1,1,119049,136161,11.756758213043213,0
graph01,1,1,110845,126705,11.581992864608765,0
graph01,1,1,142722,163185,16.31291937828064,0
graph01,1,1,148112,169329,17.07093071937561,0
graph01,1,1,184750,211185,26.585928440093994,0
graph01,1,1,127105,145313,14.081203699111938,0
graph01,1,1,186046,212673,24.738500595092773,0
graph01,1,1,119446,136561,14.07442045211792,0
graph01,1,1,126158,144273,11.859344005584717,0
graph01,1,1,127519,145809,15.332867622375488,0
graph01,1,1,105834,120993,11.663283824920654,0
graph01,1,1,203500,232641,30.607601642608643,0
graph01,1,1,145832,166705,16.835367918014526,0
graph01,1,1,94074,107537,8.191788911819458,0
graph01,1,1,168469,192577,22.6134774684906,0
graph01,1,1,202272,231249,31.35841965675354,0
graph01,1,1,69276,79217,4.305940628051758,0
graph01,1,1,93761,107201,7.0680317878723145,0
graph01,1,1,161296,184401,19.834319591522217,0
graph01,1,1,76315,87265,6.9846625328063965,0
graph01,1,1,84497,96625,7.950662851333618,0
graph01,1,1,131183,149969,14.800179243087769,0
graph01,1,1,128075,146417,13.475407838821411,0
graph01,1,1,179112,204769,23.23331356048584,0
graph01,1,1,142374,162753,17.101101875305176,0
graph01,1,1,81826,93569,7.66059947013855,0
graph01,1,1,96670,110545,8.49010682106018,0
graph01,1,1,125176,143121,13.784034490585327,0
graph01,1,1,131251,150049,12.84923768043518,0
graph01,1,1,84983,97169,7.979677200317383,0
graph01,1,1,113161,129377,13.036263465881348,0
graph01,1,1,176432,201681,25.778437614440918,0
graph01,1,1,189234,216289,27.782209873199463,0
graph01,1,1,75995,86897,8.047253608703613,0
graph01,1,1,95678,109393,7.40346884727478,0
graph01,1,1,190230,217473,28.27751851081848,0
graph01,1,1,135276,154657,14.736334800720215,0
graph01,1,1,168371,192497,21.473953008651733,0
graph01,1,1,192440,219937,28.44280695915222,0
graph01,1,1,160366,183329,21.59831428527832,0
graph02,2,1,239253,92193,10.905883312225342,1
graph02,2,1,196034,75777,8.764665365219116,1
graph02,2,1,238059,91665,14.068117380142212,1
graph02,2,1,410677,157329,30.45827078819275,1
graph02,2,1,214444,82801,8.967905044555664,1
graph02,2,1,294569,113169,17.039034843444824,1
graph02,2,1,291024,111889,16.688836097717285,1
graph02,2,1,340388,130577,23.52613091468811,1
graph02,2,1,244278,94113,12.5984525680542,1
graph02,2,1,307018,117969,19.325037956237793,1
graph02,2,1,412776,158145,31.801765203475952,1
graph02,2,1,359173,137633,25.531864643096924,1
graph02,2,1,244709,94353,13.411131620407104,1
