Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph01,1,1,119616,136737,11.413130521774292,0
graph01,1,1,98032,112065,7.496638774871826,0
graph01,1,1,119040,136081,10.426928997039795,0
graph01,1,1,205312,234689,30.417354583740234,0
graph01,1,1,107264,122593,9.73490595817566,0
graph01,1,1,147344,168417,15.578953742980957,0
graph01,1,1,145536,166353,15.344294786453247,0
graph01,1,1,170192,194545,21.758387327194214,0
graph01,1,1,122112,139585,14.044044256210327,0
graph01,1,1,153488,175457,18.806578397750854,0
graph01,1,1,206352,235841,30.735860109329224,0
graph01,1,1,179536,205233,25.90644335746765,0
graph01,1,1,122352,139857,11.041615724563599,0
graph01,1,1,175680,200817,24.88493537902832,0
graph01,1,1,69232,79137,6.2243359088897705,0
graph01,1,1,124512,142305,11.418993949890137,0
graph01,1,1,114928,131393,11.891255140304565,0
graph01,1,1,153344,175265,18.91661310195923,0
graph01,1,1,122688,140241,14.172017335891724,0
graph01,1,1,116736,133409,13.08437180519104,0
graph01,1,1,177808,203265,23.36327028274536,0
graph01,1,1,170736,195137,21.61131978034973,0
graph01,1,1,201856,230737,28.383023023605347,0
graph01,1,1,180464,206257,25.063873052597046,0
graph01,1,1,199056,227521,27.716197729110718,0
graph01,1,1,158656,181361,20.95751190185547,0
graph01,1,1,115120,131569,9.978001832962036,0
graph01,1,1,113968,130305,10.882950067520142,0
graph01,1,1,157232,179713,18.777881145477295,0
graph01,1,1,136800,156401,13.687528848648071,0
graph01,1,1,201696,230561,30.74786901473999,0
graph01,1,1,86208,98561,9.031665563583374,0
graph01,1,1,73184,83649,6.621824264526367,0
graph01,1,1,149536,170897,16.263555765151978,0
graph01,1,1,85072,97233,8.836559772491455,0
graph01,1,1,105888,121057,11.606870174407959,0
graph01,1,1,175264,200337,22.620317459106445,0
graph01,1,1,173104,197873,22.371333122253418,0
graph01,1,1,192768,220305,28.37357211112976,0
graph01,1,1,143792,164353,17.997188806533813,0
graph01,1,1,97152,111057,10.380064725875854,0
graph01,1,1,145024,165761,15.14671778678894,0
graph01,1,1,93424,106769,9.8566255569458,0
graph01,1,1,99648,113905,7.698975086212158,0
graph01,1,1,160208,183089,21.28301215171814,0
graph01,1,1,177904,203345,24.33053684234619,0
graph01,1,1,177280,202641,23.97647190093994,0
graph01,1,1,124528,142337,12.40208101272583,0
