Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph01,1,1,119616,136737,18.214292287826538,0
graph01,1,1,98032,112065,11.432501316070557,0
graph01,1,1,119040,136081,17.59154224395752,0
graph01,1,1,205312,234689,36.81238555908203,0
graph01,1,1,107264,122593,11.774357318878174,0
graph01,1,1,147344,168417,22.655587434768677,0
graph01,1,1,145536,166353,23.45972466468811,0
graph01,1,1,170192,194545,24.571803331375122,0
graph01,1,1,122112,139585,18.062174320220947,0
graph01,1,1,153488,175457,23.73046612739563,0
graph01,1,1,206352,235841,35.713340044021606,0
graph01,1,1,179536,205233,32.64729309082031,0
graph01,1,1,122352,139857,17.16838550567627,0
graph01,1,1,175680,200817,25.86463761329651,0
graph01,1,1,69232,79153,13.258395910263062,0
graph01,1,1,124512,142305,17.64311385154724,0
graph01,1,1,114928,131393,17.95413374900818,0
graph01,1,1,153344,175265,25.808022499084473,0
graph01,1,1,122688,140241,21.166873455047607,0
graph01,1,1,116736,133409,16.316108465194702,0
graph01,1,1,177808,203265,27.455727100372314,0
graph01,1,1,170736,195137,27.767481088638306,0
graph01,1,1,201856,230737,35.53481888771057,0
graph01,1,1,180464,206257,28.90266466140747,0
graph01,1,1,199056,227537,36.827269554138184,0
graph01,1,1,158656,181361,24.04437255859375,0
graph01,1,1,115120,131569,15.963838577270508,0
graph01,1,1,113968,130305,14.785646200180054,0
graph01,1,1,157232,179713,25.594621181488037,0
graph01,1,1,136800,156401,23.606621980667114,0
graph01,1,1,201696,230561,31.823065042495728,0
graph01,1,1,86208,98561,11.086705446243286,0
graph01,1,1,73184,83649,10.675225496292114,0
graph01,1,1,149536,170897,25.224422931671143,0
graph01,1,1,85072,97233,10.914263725280762,0
graph01,1,1,105888,121057,12.618194341659546,0
graph01,1,1,175264,200337,26.705352306365967,0
graph01,1,1,173104,197873,29.222817182540894,0
graph01,1,1,192768,220305,30.29542112350464,0
graph01,1,1,143792,164353,19.96343731880188,0
graph01,1,1,97152,111057,16.447468280792236,0
graph01,1,1,145024,165761,21.374706983566284,0
graph01,1,1,93424,106769,13.91277527809143,0
graph01,1,1,99648,113905,13.697525024414062,0
graph01,1,1,160208,183089,25.312678337097168,0
graph01,1,1,177904,203345,26.38542151451111,0
graph01,1,1,177280,202641,29.00424289703369,0
graph01,1,1,124528,142337,19.57247829437256,0
graph01,1,1,124944,142817,20.428045988082886,0
graph01,1,1,142208,162529,20.552990436553955,0
graph01,1,1,169376,193601,26.299262046813965,0
graph01,1,1,183936,210257,25.83176589012146,0
graph01,1,1,185056,211553,29.313020706176758,0
graph01,1,1,168304,192385,25.203765630722046,0
graph01,1,1,135680,155089,21.46588158607483,0
graph01,1,1,206448,235969,37.5487642288208,0
graph01,1,1,142864,163281,17.729447603225708,0
graph01,1,1,137680,157345,18.69426941871643,0
graph01,1,1,164848,188433,27.44928765296936,0
graph01,1,1,140896,161041,19.30743956565857,0
graph01,1,1,119056,136145,14.487234115600586,0
graph01,1,1,110848,126689,17.34029269218445,0
graph01,1,1,142736,163169,23.541985988616943,0
graph01,1,1,148112,169313,22.65477418899536,0
graph01,1,1,184752,211169,31.93626070022583,0
graph01,1,1,127120,145297,16.941364765167236,0
graph01,1,1,186048,212657,32.19432353973389,0
graph01,1,1,119456,136545,15.722084045410156,0
graph01,1,1,126160,144257,21.643718242645264,0
graph01,1,1,127520,145793,17.79334855079651,0
graph01,1,1,105840,120977,17.49564528465271,0
graph01,1,1,203504,232625,35.84181261062622,0
graph01,1,1,145840,166689,19.222786903381348,0
graph01,1,1,94080,107521,16.914541006088257,0
graph01,1,1,168480,192561,25.96910810470581,0
graph01,1,1,202272,231233,36.833425998687744,0
graph01,1,1,69280,79201,13.233335733413696,0
graph01,1,1,93776,107185,11.88017201423645,0
graph01,1,1,161296,184385,24.265502214431763,0
graph01,1,1,76320,87249,7.9084460735321045,0
graph01,1,1,84512,96609,15.81358814239502,0
graph01,1,1,131184,149953,16.659989595413208,0
graph01,1,1,128080,146417,21.05673575401306,0
graph01,1,1,179120,204753,30.677242040634155,0
graph01,1,1,142384,162737,20.681549787521362,0
graph01,1,1,81840,93553,11.546988725662231,0
graph01,1,1,96672,110529,18.34774923324585,0
graph01,1,1,125184,143105,19.501582384109497,0
graph01,1,1,131264,150033,21.639434099197388,0
graph01,1,1,84992,97153,12.890416383743286,0
graph01,1,1,113168,129361,15.598472833633423,0
graph01,1,1,176432,201665,31.17052388191223,0
graph01,1,1,189248,216273,35.39284110069275,0
graph01,1,1,76000,86881,13.928035974502563,0
graph01,1,1,95680,109377,13.161473512649536,0
graph01,1,1,190240,217457,30.76840376853943,0
graph01,1,1,135280,154641,19.450520992279053,0
graph01,1,1,168384,192481,28.33100914955139,0
graph01,1,1,192448,219921,37.15133571624756,0
graph01,1,1,160368,183313,23.33330273628235,0
graph02,2,1,239264,92193,18.701621294021606,1
graph02,2,1,196048,75809,13.5538911819458,1
graph02,2,1,238080,91745,18.769034385681152,1
graph02,2,1,410704,157345,33.78244185447693,1
graph02,2,1,214464,82753,16.85284423828125,1
graph02,2,1,294576,113105,23.81619095802307,1
graph02,2,1,291040,111857,19.362181663513184,1
graph02,2,1,340400,130449,24.889177560806274,1
graph02,2,1,244288,94065,20.098677396774292,1
graph02,2,1,307024,118017,23.833973169326782,1
graph02,2,1,412800,158065,36.05891704559326,1
graph02,2,1,359184,137649,27.919595956802368,1
graph02,2,1,244736,94273,18.163195848464966,1
graph02,2,1,351328,134785,31.056406259536743,1
graph02,2,1,138496,53905,10.302948474884033,1
graph02,2,1,248992,95841,17.735470294952393,1
graph02,2,1,229888,88641,14.95562744140625,1
graph02,2,1,306704,117713,23.86130666732788,1
graph02,2,1,245360,94529,18.295917749404907,1
graph02,2,1,233424,90001,16.34240698814392,1
graph02,2,1,355648,136241,30.516479969024658,1
graph02,2,1,341408,131041,27.052271842956543,1
graph02,2,1,403680,154529,32.5707848072052,1
graph02,2,1,360944,138289,30.42825222015381,1
graph02,2,1,398128,152593,37.082873582839966,1
graph02,2,1,317344,121793,24.09277606010437,1
graph02,2,1,230160,88753,18.05872654914856,1
graph02,2,1,228000,87857,11.964060544967651,1
graph02,2,1,314416,120673,23.800960540771484,1
graph02,2,1,273600,105249,16.540847539901733,1
graph02,2,1,403424,154433,31.647453784942627,1
graph02,2,1,172464,66817,14.105437755584717,1
graph02,2,1,146352,56785,13.688755750656128,1
graph02,2,1,299024,114801,23.385711908340454,1
graph02,2,1,170112,65953,13.990488052368164,1
graph02,2,1,211744,81697,17.833020210266113,1
graph02,2,1,350528,134417,26.87717318534851,1
graph02,2,1,346256,132801,27.358541011810303,1
graph02,2,1,385456,147585,35.637343883514404,1
graph02,2,1,287552,110481,17.88585376739502,1
graph02,2,1,194256,75025,12.47239375114441,1
graph02,2,1,290064,111393,26.371424674987793,1
graph02,2,1,186736,72305,16.40199065208435,1
graph02,2,1,199328,77009,12.73941421508789,1
graph02,2,1,320384,122897,26.48091745376587,1
graph02,2,1,355776,136385,30.31330132484436,1
graph02,2,1,354560,135857,31.25941514968872,1
graph02,2,1,249072,95969,15.61738395690918,1
graph02,2,1,249952,96193,18.552252769470215,1
graph02,2,1,284320,109265,23.701269388198853,1
graph02,2,1,338752,129905,31.399768114089966,1
graph02,2,1,367792,140881,29.7389018535614,1
graph02,2,1,370176,141873,29.211185932159424,1
graph02,2,1,336544,129041,25.118709087371826,1
graph02,2,1,271392,104337,19.3830349445343,1
graph02,2,1,412864,158145,37.00208640098572,1
graph02,2,1,285744,109697,23.79444670677185,1
graph02,2,1,275344,105793,21.89867377281189,1
graph02,2,1,329680,126577,26.65186882019043,1
graph02,2,1,281744,108241,18.23081398010254,1
graph02,2,1,238144,91761,19.600558042526245,1
graph02,2,1,221680,85425,15.270238876342773,1
graph02,2,1,285520,109713,21.703328132629395,1
graph02,2,1,296272,113777,18.726573944091797,1
graph02,2,1,369536,141601,28.925899744033813,1
graph02,2,1,254224,97745,17.951982736587524,1
graph02,2,1,372176,142577,32.423271894454956,1
graph02,2,1,238880,92081,16.733155488967896,1
graph02,2,1,252448,97233,17.759584188461304,1
graph02,2,1,255056,98209,20.881734132766724,1
graph02,2,1,211680,81649,12.51200270652771,1
graph02,2,1,407104,156017,38.82947254180908,1
graph02,2,1,291664,112097,20.369781732559204,1
graph02,2,1,188128,72785,15.930245637893677,1
graph02,2,1,337008,129345,22.190985441207886,1
graph02,2,1,404608,154961,32.76297187805176,1
graph02,2,1,138576,53889,15.276848077774048,1
graph02,2,1,187568,72497,14.932385921478271,1
graph02,2,1,322624,123713,26.666009187698364,1
graph02,2,1,152624,59281,8.967164754867554,1
graph02,2,1,169072,65521,14.880337476730347,1
graph02,2,1,262336,100865,17.60346817970276,1
graph02,2,1,256128,98545,17.08743143081665,1
graph02,2,1,358256,137425,30.5625,1
graph02,2,1,284816,109473,21.56961703300476,1
graph02,2,1,163728,63505,11.569946527481079,1
graph02,2,1,193408,74737,10.347177505493164,1
graph02,2,1,250384,96289,18.52749228477478,1
graph02,2,1,262480,100929,18.687101364135742,1
graph02,2,1,169920,65841,10.941003561019897,1
graph02,2,1,226336,87185,19.705503225326538,1
graph02,2,1,352960,135297,25.026655197143555,1
graph02,2,1,378432,145041,31.58769655227661,1
graph02,2,1,151920,59009,11.927063465118408,1
graph02,2,1,191360,73985,11.21863865852356,1
graph02,2,1,380448,145697,35.064921617507935,1
graph02,2,1,270576,104129,18.392059326171875,1
graph02,2,1,336704,129121,29.206847190856934,1
graph02,2,1,384944,147521,30.408097505569458,1
graph02,2,1,320848,123153,23.46877932548523,1
graph03,2,1,239264,201601,8.072816371917725,2
graph03,2,1,196048,165265,8.057433128356934,2
graph03,2,1,238080,200705,10.066748857498169,2
graph03,2,1,410704,346177,9.088181495666504,2
graph03,2,1,214464,180753,7.063576698303223,2
graph03,2,1,294576,248097,6.051023006439209,2
graph03,2,1,291040,245265,5.057171106338501,2
graph03,2,1,340400,286753,6.078681468963623,2
graph03,2,1,244288,205921,8.062713384628296,2
graph03,2,1,307024,258801,9.058737993240356,2
graph03,2,1,412800,347937,7.051374435424805,2
graph03,2,1,359184,302737,5.081169366836548,2
graph03,2,1,244736,206145,10.067029237747192,2
graph03,2,1,351328,296065,11.085294246673584,2
graph03,2,1,138496,116801,9.03269100189209,2
graph03,2,1,248992,209857,10.067745208740234,2
graph03,2,1,229888,193697,8.043862104415894,2
graph03,2,1,306704,258465,7.074631452560425,2
graph03,2,1,245360,206769,4.031775712966919,2
graph03,2,1,233424,196673,7.063556671142578,2
graph03,2,1,355648,299793,9.082427740097046,2
graph03,2,1,341408,287665,7.078851699829102,2
graph03,2,1,403680,340161,5.082854986190796,2
graph03,2,1,360944,304177,5.059543132781982,2
graph03,2,1,398128,335553,10.075052261352539,2
