Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph04,3,1,358893,130546,0.07772397994995117,3
graph04,3,1,293983,107141,6.700422525405884,3
graph04,3,1,357094,129860,0.07584166526794434,3
graph04,3,1,615965,223144,28.61719799041748,3
graph04,3,1,321627,117059,0.06807303428649902,3
graph04,3,1,441877,160305,14.88857913017273,3
graph04,3,1,436592,158454,15.042394876480103,3
graph04,3,1,510701,185117,0.1216437816619873,3
graph04,3,1,366393,133117,0.07796025276184082,3
graph04,3,1,460412,167088,0.10895800590515137,3
graph04,3,1,619087,224372,0.16253900527954102,3
graph04,3,1,538705,195279,0.13970017433166504,3
graph04,3,1,367097,133565,30.362290859222412,3
graph04,3,1,526919,191073,0.11413741111755371,3
graph04,3,1,207741,76067,0.048044681549072266,3
graph04,3,1,373472,135736,10.52862811088562,3
graph04,3,1,344793,125468,0.08201265335083008,3
graph04,3,1,460058,166854,0.10833621025085449,3
graph04,3,1,368018,133713,20.50326442718506,3
graph04,3,1,350123,127383,9.136857032775879,3
graph04,3,1,533458,193441,0.11440825462341309,3
graph04,3,1,512058,185589,0.11951541900634766,3
graph04,3,1,605540,219378,27.435718059539795,3
graph04,3,1,541432,196375,0.11530375480651855,3
graph04,3,1,597147,216309,0.12768197059631348,3
graph04,3,1,476046,172638,0.10074782371520996,3
graph04,3,1,345265,125652,17.623009204864502,3
graph04,3,1,341999,124350,8.687744855880737,3
graph04,3,1,471598,170957,0.10102295875549316,3
graph04,3,1,410484,149013,37.4628632068634,3
graph04,3,1,605101,218965,27.306078672409058,3
graph04,3,1,258718,94417,4.975957155227661,3
graph04,3,1,219471,80260,3.5839462280273438,3
graph04,3,1,448565,162785,0.1057424545288086,3
graph04,3,1,255115,93170,4.8855133056640625,3
graph04,3,1,317607,115580,7.5241289138793945,3
graph04,3,1,525758,190517,61.72960114479065,3
graph04,3,1,519396,188276,39.95858955383301,3
graph04,3,1,578058,209414,24.90627908706665,3
graph04,3,1,431329,156711,0.0914907455444336,3
graph04,3,1,291410,106083,12.556286334991455,3
graph04,3,1,435158,157827,27.958685398101807,3
graph04,3,1,280035,102019,5.898082256317139,3
graph04,3,1,299065,108929,0.06217050552368164,3
graph04,3,1,480399,174246,34.12868618965149,3
graph04,3,1,533700,193432,0.1165919303894043,3
graph04,3,1,531821,192811,21.003103733062744,3
graph04,3,1,373597,135744,0.07841825485229492,3
graph04,3,1,374942,136249,10.521913051605225,3
graph04,3,1,426452,154736,0.0892488956451416,3
graph04,3,1,508071,184289,38.39990210533142,3
graph04,3,1,551593,199956,0.1175391674041748,3
graph04,3,1,555302,201180,46.42811322212219,3
graph04,3,1,504773,183091,0.10845160484313965,3
graph04,3,1,407160,147776,0.08577346801757812,3
graph04,3,1,619240,224389,0.13369369506835938,3
graph04,3,1,428594,155629,40.95398235321045,3
graph04,3,1,413043,150038,0.08819866180419922,3
graph04,3,1,494531,179288,18.27252435684204,3
graph04,3,1,422569,153447,0.09898161888122559,3
graph04,3,1,357197,129758,0.08412647247314453,3
graph04,3,1,332437,120921,0.07658004760742188,3
graph04,3,1,428192,155445,0.09177947044372559,3
graph04,3,1,444391,161304,14.818016767501831,3
graph04,3,1,554366,200980,0.13227581977844238,3
graph04,3,1,381314,138505,10.877581357955933,3
graph04,3,1,558092,202227,23.3544602394104,3
graph04,3,1,358316,130323,9.669056415557861,3
graph04,3,1,378654,137736,0.08776354789733887,3
graph04,3,1,382534,139004,0.08073306083679199,3
graph04,3,1,317496,115474,0.06737780570983887,3
graph04,3,1,610583,221232,55.89517569541931,3
graph04,3,1,437488,158821,14.273569583892822,3
graph04,3,1,282199,102850,17.772449254989624,3
graph04,3,1,505476,183130,19.28469491004944,3
graph04,3,1,606855,219807,0.13124656677246094,3
graph04,3,1,207861,76049,0.043413400650024414,3
graph04,3,1,281327,102557,0.05906271934509277,3
graph04,3,1,483976,175686,17.558294534683228,3
graph04,3,1,228842,83673,11.773263216018677,3
graph04,3,1,253630,92662,9.562557697296143,3
graph04,3,1,393514,142818,11.533219814300537,3
graph04,3,1,384178,139557,32.883336544036865,3
graph04,3,1,537387,194927,0.1389482021331787,3
graph04,3,1,427196,155089,13.606553554534912,3
graph04,3,1,245584,89647,0.061515092849731445,3
graph04,3,1,290141,105691,18.80970287322998,3
graph04,3,1,375442,136497,0.10567450523376465,3
graph04,3,1,393708,143026,23.094279050827026,3
graph04,3,1,254911,93057,0.052875518798828125,3
graph04,3,1,339461,123401,17.155485153198242,3
graph04,3,1,529374,191941,41.94356846809387,3
graph04,3,1,567581,205725,24.303367853164673,3
graph04,3,1,227805,83309,0.05196857452392578,3
graph04,3,1,287088,104601,12.395910263061523,3
graph04,3,1,570636,206663,0.13248467445373535,3
graph04,3,1,405873,147384,0.0848851203918457,3
graph04,3,1,505029,183113,0.11757707595825195,3
graph04,3,1,577368,209110,24.95697832107544,3
graph04,3,1,481263,174568,51.94205284118652,3
