Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph01,1,1,119607,140576,9.780020236968994,0
graph01,1,1,98027,124912,6.448684930801392,0
graph01,1,1,119031,140576,19.806533098220825,0
graph01,1,1,205298,253624,59.176788330078125,0
graph01,1,1,107253,124912,7.72725510597229,0
graph01,1,1,147338,178016,14.733180046081543,0
graph01,1,1,145521,178016,29.61678647994995,0
graph01,1,1,170185,200312,19.683065176010132,0
graph01,1,1,122108,158192,10.083597183227539,0
graph01,1,1,153483,178016,33.085607051849365,0
graph01,1,1,206339,253624,59.87281513214111,0
graph01,1,1,179529,225400,21.76929545402527,0
graph01,1,1,122337,158192,20.930583953857422,0
graph01,1,1,175667,225400,43.31741786003113,0
graph01,1,1,69223,87616,6.70553183555603,0
graph01,1,1,124500,158192,21.673651695251465,0
graph01,1,1,114924,140576,18.62764048576355,0
graph01,1,1,153338,178016,33.053189754486084,0
graph01,1,1,122679,158192,21.011387586593628,0
graph01,1,1,116727,140576,18.81346583366394,0
graph01,1,1,177806,225400,45.042728900909424,0
graph01,1,1,170721,200312,19.45905375480652,0
graph01,1,1,201852,253624,56.94732308387756,0
graph01,1,1,180460,225400,45.22062373161316,0
graph01,1,1,199043,253624,55.38837766647339,0
graph01,1,1,158654,200312,17.53334403038025,0
graph01,1,1,115105,140576,18.47842788696289,0
graph01,1,1,113962,140576,17.993727922439575,0
graph01,1,1,157224,200312,34.1840603351593,0
graph01,1,1,136799,178016,25.879414081573486,0
graph01,1,1,201688,253624,27.16943621635437,0
graph01,1,1,86207,110992,4.955805540084839,0
graph01,1,1,73170,87616,7.402294397354126,0
graph01,1,1,149522,178016,31.22780704498291,0
graph01,1,1,85059,98616,10.101544618606567,0
graph01,1,1,105877,124912,15.72720718383789,0
graph01,1,1,175258,225400,42.76871633529663,0
graph01,1,1,173103,225400,41.639683961868286,0
graph01,1,1,192755,225400,51.697919607162476,0
graph01,1,1,143779,178016,28.62464189529419,0
graph01,1,1,97141,124912,6.251699447631836,0
graph01,1,1,145010,178016,14.259632349014282,0
graph01,1,1,93415,110992,12.014304637908936,0
graph01,1,1,99634,124912,13.721647500991821,0
graph01,1,1,160208,200312,35.424516916275024,0
graph01,1,1,177892,225400,43.83142399787903,0
graph01,1,1,177275,225400,43.59919214248657,0
graph01,1,1,124527,158192,21.441914081573486,0
graph01,1,1,124942,158192,21.45140051841736,0
graph01,1,1,142194,178016,13.511304378509521,0
graph01,1,1,169368,200312,39.49347949028015,0
graph01,1,1,183929,225400,47.00936436653137,0
graph01,1,1,185048,225400,48.06021547317505,0
graph01,1,1,168297,200312,39.31366777420044,0
graph01,1,1,135669,158192,12.32706356048584,0
graph01,1,1,206448,253624,59.594101667404175,0
graph01,1,1,142863,178016,13.649545192718506,0
graph01,1,1,137667,178016,26.293280363082886,0
graph01,1,1,164834,200312,37.9643919467926,0
graph01,1,1,140888,178016,13.218851089477539,0
graph01,1,1,119049,140576,19.66126847267151,0
graph01,1,1,110845,140576,17.08264446258545,0
graph01,1,1,142722,178016,28.337039470672607,0
graph01,1,1,148112,178016,14.71033763885498,0
graph01,1,1,184750,225400,47.91221523284912,0
graph01,1,1,127105,158192,22.69847083091736,0
graph01,1,1,186046,225400,48.47316074371338,0
graph01,1,1,119446,140576,20.377979278564453,0
graph01,1,1,126158,158192,22.285229682922363,0
graph01,1,1,127519,158192,22.607415199279785,0
graph01,1,1,105834,124912,7.643476963043213,0
graph01,1,1,203500,253624,58.084051847457886,0
graph01,1,1,145832,178016,29.61408805847168,0
graph01,1,1,94074,110992,5.909685134887695,0
graph01,1,1,168469,200312,39.79155206680298,0
graph01,1,1,202272,253624,57.31956338882446,0
graph01,1,1,69276,87616,3.2213683128356934,0
graph01,1,1,93761,110992,12.183624744415283,0
graph01,1,1,161296,200312,36.16558885574341,0
graph01,1,1,76315,98616,8.064650058746338,0
graph01,1,1,84497,98616,4.829151391983032,0
graph01,1,1,131183,158192,23.92989444732666,0
graph01,1,1,128075,158192,22.760672330856323,0
graph01,1,1,179112,225400,21.499622106552124,0
graph01,1,1,142374,178016,13.725962400436401,0
graph01,1,1,81826,98616,9.339652061462402,0
graph01,1,1,96670,124912,13.111946105957031,0
graph01,1,1,125176,158192,21.9644513130188,0
graph01,1,1,131251,158192,11.708919525146484,0
graph01,1,1,84983,98616,10.052295207977295,0
