Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph01,1,1,119607,140576,20.307950019836426,0
graph01,1,1,98027,124912,13.46096158027649,0
graph01,1,1,119031,140576,19.953915119171143,0
graph01,1,1,205298,253624,28.65412473678589,0
graph01,1,1,107253,124912,7.720444679260254,0
graph01,1,1,147338,178016,14.614475011825562,0
graph01,1,1,145521,178016,29.629559755325317,0
graph01,1,1,170185,200312,40.68856906890869,0
graph01,1,1,122108,158192,20.973820209503174,0
graph01,1,1,153483,178016,33.26941633224487,0
graph01,1,1,206339,253624,60.414283990859985,0
graph01,1,1,179529,225400,45.469316720962524,0
graph01,1,1,122337,158192,21.06230664253235,0
graph01,1,1,175667,225400,21.020889043807983,0
graph01,1,1,69223,87616,6.753650426864624,0
graph01,1,1,124500,158192,10.520882606506348,0
graph01,1,1,114924,140576,9.021540880203247,0
graph01,1,1,153338,178016,16.020058631896973,0
graph01,1,1,122679,158192,21.25333857536316,0
graph01,1,1,116727,140576,19.161534309387207,0
graph01,1,1,177806,225400,21.487971305847168,0
graph01,1,1,170721,200312,41.2352409362793,0
graph01,1,1,201852,253624,58.27767205238342,0
graph01,1,1,180460,225400,47.30487942695618,0
graph01,1,1,199043,253624,56.46660399436951,0
graph01,1,1,158654,200312,35.683125495910645,0
graph01,1,1,115105,140576,18.573822021484375,0
graph01,1,1,113962,140576,18.329118490219116,0
graph01,1,1,157224,200312,35.001516819000244,0
graph01,1,1,136799,178016,26.42396306991577,0
graph01,1,1,201688,253624,57.47923159599304,0
graph01,1,1,86207,110992,10.613489151000977,0
graph01,1,1,73170,87616,3.6456804275512695,0
graph01,1,1,149522,178016,31.7469220161438,0
graph01,1,1,85059,98616,4.906723737716675,0
graph01,1,1,105877,124912,15.96929931640625,0
graph01,1,1,175258,225400,43.49828886985779,0
graph01,1,1,173103,225400,42.59847664833069,0
graph01,1,1,192755,225400,52.66441321372986,0
graph01,1,1,143779,178016,29.169655323028564,0
graph01,1,1,97141,124912,13.31796145439148,0
graph01,1,1,145010,178016,14.163628816604614,0
graph01,1,1,93415,110992,12.260936260223389,0
graph01,1,1,99634,124912,13.940637111663818,0
graph01,1,1,160208,200312,17.43693470954895,0
graph01,1,1,177892,225400,44.63204288482666,0
graph01,1,1,177275,225400,44.40121006965637,0
graph01,1,1,124527,158192,21.82722043991089,0
graph01,1,1,124942,158192,10.649635314941406,0
graph01,1,1,142194,178016,28.703154802322388,0
graph01,1,1,169368,200312,40.29933953285217,0
graph01,1,1,183929,225400,48.06451177597046,0
graph01,1,1,185048,225400,48.5231614112854,0
graph01,1,1,168297,200312,39.93246674537659,0
graph01,1,1,135669,158192,12.509491443634033,0
graph01,1,1,206448,253624,60.24933671951294,0
graph01,1,1,142863,178016,28.732794523239136,0
graph01,1,1,137667,178016,26.416160583496094,0
graph01,1,1,164834,200312,38.319684743881226,0
graph01,1,1,140888,178016,27.66529631614685,0
graph01,1,1,119049,140576,19.746967315673828,0
graph01,1,1,110845,140576,17.168548583984375,0
