Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph01,1,1,119607,140576,10.346380710601807,0
graph01,1,1,98027,124912,6.527143955230713,0
graph01,1,1,119031,140576,9.64810585975647,0
graph01,1,1,205298,253624,29.180670499801636,0
graph01,1,1,107253,124912,7.8428428173065186,0
graph01,1,1,147338,178016,14.733911275863647,0
graph01,1,1,145521,178016,14.463417053222656,0
graph01,1,1,170185,200312,19.710763931274414,0
graph01,1,1,122108,158192,10.120688676834106,0
graph01,1,1,153483,178016,16.07698106765747,0
graph01,1,1,206339,253624,29.126124382019043,0
graph01,1,1,179529,225400,22.01255702972412,0
graph01,1,1,122337,158192,10.174781084060669,0
graph01,1,1,175667,225400,21.31234884262085,0
graph01,1,1,69223,87616,3.3009800910949707,0
graph01,1,1,124500,158192,10.704916954040527,0
graph01,1,1,114924,140576,9.057022333145142,0
graph01,1,1,153338,178016,16.187278270721436,0
graph01,1,1,122679,158192,10.265756368637085,0
graph01,1,1,116727,140576,9.336576700210571,0
graph01,1,1,177806,225400,21.88408589363098,0
graph01,1,1,170721,200312,20.14629554748535,0
graph01,1,1,201852,253624,28.169092416763306,0
graph01,1,1,180460,225400,22.44804835319519,0
graph01,1,1,199043,253624,27.30612325668335,0
graph01,1,1,158654,200312,17.310481548309326,0
graph01,1,1,115105,140576,9.07688021659851,0
graph01,1,1,113962,140576,8.897952556610107,0
graph01,1,1,157224,200312,16.94163703918457,0
graph01,1,1,136799,178016,12.836053133010864,0
graph01,1,1,201688,253624,28.169161081314087,0
graph01,1,1,86207,110992,5.058638572692871,0
graph01,1,1,73170,87616,3.6677839756011963,0
graph01,1,1,149522,178016,15.337667465209961,0
graph01,1,1,85059,98616,4.948602199554443,0
graph01,1,1,105877,124912,7.65454363822937,0
graph01,1,1,175258,225400,20.94059658050537,0
graph01,1,1,173103,225400,20.50358271598816,0
graph01,1,1,192755,225400,25.96896982192993,0
graph01,1,1,143779,178016,14.136449813842773,0
graph01,1,1,97141,124912,6.420307874679565,0
graph01,1,1,145010,178016,14.38410234451294,0
graph01,1,1,93415,110992,5.95018458366394,0
graph01,1,1,99634,124912,6.79521107673645,0
graph01,1,1,160208,200312,17.560239553451538,0
graph01,1,1,177892,225400,21.935570001602173,0
graph01,1,1,177275,225400,21.585222721099854,0
graph01,1,1,124527,158192,10.641353845596313,0
graph01,1,1,124942,158192,10.62794017791748,0
graph01,1,1,142194,178016,13.840542793273926,0
graph01,1,1,169368,200312,19.493399381637573,0
graph01,1,1,183929,225400,22.99104142189026,0
graph01,1,1,185048,225400,23.38845181465149,0
graph01,1,1,168297,200312,19.343247652053833,0
graph01,1,1,135669,158192,12.513988971710205,0
graph01,1,1,206448,253624,29.195666790008545,0
graph01,1,1,142863,178016,13.900315046310425,0
graph01,1,1,137667,178016,12.910607814788818,0
graph01,1,1,164834,200312,18.436599016189575,0
graph01,1,1,140888,178016,13.490845680236816,0
graph01,1,1,119049,140576,9.608897686004639,0
graph01,1,1,110845,140576,8.348246574401855,0
graph01,1,1,142722,178016,13.761254787445068,0
graph01,1,1,148112,178016,14.954739570617676,0
graph01,1,1,184750,225400,23.62758493423462,0
graph01,1,1,127105,158192,11.0729660987854,0
graph01,1,1,186046,225400,23.727608680725098,0
graph01,1,1,119446,140576,9.707781314849854,0
graph01,1,1,126158,158192,10.767078161239624,0
graph01,1,1,127519,158192,10.981933355331421,0
graph01,1,1,105834,124912,7.536336898803711,0
graph01,1,1,203500,253624,28.079744815826416,0
graph01,1,1,145832,178016,14.414262294769287,0
graph01,1,1,94074,110992,5.976923227310181,0
graph01,1,1,168469,200312,19.188136339187622,0
