Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph01,1,1,119607,136753,11.128124952316284,0
graph01,1,1,98027,112081,7.757749795913696,0
graph01,1,1,119031,136097,11.636706352233887,0
graph01,1,1,205298,234705,30.866378784179688,0
graph01,1,1,107253,122609,8.850557327270508,0
graph01,1,1,147338,168433,15.794931173324585,0
graph01,1,1,145521,166369,16.446751356124878,0
graph01,1,1,170185,194561,21.910478591918945,0
graph01,1,1,122108,139601,11.185265302658081,0
graph01,1,1,153483,175473,17.92138981819153,0
graph01,1,1,206339,235857,30.92008900642395,0
graph01,1,1,179529,205249,21.823575735092163,0
graph01,1,1,122337,139873,11.051867723464966,0
graph01,1,1,175667,200833,22.806153059005737,0
graph01,1,1,69223,79153,3.2120535373687744,0
graph01,1,1,124500,142321,12.4904043674469,0
graph01,1,1,114924,131409,11.937248229980469,0
graph01,1,1,153338,175281,17.787389039993286,0
graph01,1,1,122679,140257,11.156996965408325,0
graph01,1,1,116727,133425,9.152830362319946,0
graph01,1,1,177806,203281,22.284525871276855,0
graph01,1,1,170721,195153,21.572038888931274,0
graph01,1,1,201852,230753,30.56594181060791,0
graph01,1,1,180460,206273,24.937962293624878,0
graph01,1,1,199043,227537,29.674649477005005,0
graph01,1,1,158654,181377,18.926491260528564,0
graph01,1,1,115105,131585,11.891057252883911,0
graph01,1,1,113962,130321,9.741753816604614,0
graph01,1,1,157224,179729,18.626203298568726,0
graph01,1,1,136799,156417,13.433363199234009,0
graph01,1,1,201688,230577,29.180850982666016,0
graph01,1,1,86207,98577,6.983565092086792,0
graph01,1,1,73170,83665,4.598273277282715,0
graph01,1,1,149522,170913,18.07559037208557,0
graph01,1,1,85059,97249,5.821522235870361,0
graph01,1,1,105877,121073,9.469717979431152,0
graph01,1,1,175258,200353,22.64900255203247,0
graph01,1,1,173103,197889,21.050530433654785,0
graph01,1,1,192755,220321,27.84787607192993,0
graph01,1,1,143779,164369,15.770735263824463,0
graph01,1,1,97141,111073,8.310951948165894,0
graph01,1,1,145010,165777,15.036303520202637,0
graph01,1,1,93415,106785,6.807069540023804,0
graph01,1,1,99634,113921,6.6708643436431885,0
graph01,1,1,160208,183105,19.15834355354309,0
graph01,1,1,177892,203361,23.23603844642639,0
graph01,1,1,177275,202657,22.48012113571167,0
graph01,1,1,124527,142353,11.671782732009888,0
graph01,1,1,124942,142833,11.604071378707886,0
graph01,1,1,142194,162545,14.681738376617432,0
graph01,1,1,169368,193617,21.590823888778687,0
graph01,1,1,183929,210273,25.029139757156372,0
graph01,1,1,185048,211569,23.341861486434937,0
graph01,1,1,168297,192401,20.08894681930542,0
graph01,1,1,135669,155105,13.370442867279053,0
graph01,1,1,206448,235985,31.77785301208496,0
graph01,1,1,142863,163297,15.740483283996582,0
graph01,1,1,137667,157361,14.849457502365112,0
graph01,1,1,164834,188449,21.98918581008911,0
graph01,1,1,140888,161057,15.346863508224487,0
graph01,1,1,119049,136161,11.563843727111816,0
graph01,1,1,110845,126705,10.405236005783081,0
graph01,1,1,142722,163185,16.881901264190674,0
graph01,1,1,148112,169329,17.875903129577637,0
graph01,1,1,184750,211185,24.293387413024902,0
graph01,1,1,127105,145313,12.893376111984253,0
graph01,1,1,186046,212673,24.39518117904663,0
graph01,1,1,119446,136561,12.724107027053833,0
graph01,1,1,126158,144273,13.853482723236084,0
graph01,1,1,127519,145809,12.144320011138916,0
graph01,1,1,105834,120993,8.607844114303589,0
graph01,1,1,203500,232641,30.27626943588257,0
graph01,1,1,145832,166705,16.47775912284851,0
graph01,1,1,94074,107537,9.022255420684814,0
graph01,1,1,168469,192577,19.390230894088745,0
graph01,1,1,202272,231249,28.96699333190918,0
graph01,1,1,69276,79217,3.233548879623413,0
graph01,1,1,93761,107201,5.987771272659302,0
graph01,1,1,161296,184401,18.743812084197998,0
graph01,1,1,76315,87265,5.930016040802002,0
graph01,1,1,84497,96625,6.829822301864624,0
graph01,1,1,131183,149969,13.640354633331299,0
graph01,1,1,128075,146417,13.057157278060913,0
graph01,1,1,179112,204769,23.836331367492676,0
graph01,1,1,142374,162753,15.672065258026123,0
graph01,1,1,81826,93569,6.540052890777588,0
graph01,1,1,96670,110545,8.299153089523315,0
graph01,1,1,125176,143121,12.544790029525757,0
graph01,1,1,131251,150049,11.51963496208191,0
graph01,1,1,84983,97169,6.857682704925537,0
graph01,1,1,113161,129377,10.578384160995483,0
graph01,1,1,176432,201681,20.865325689315796,0
graph01,1,1,189234,216289,26.346020936965942,0
graph01,1,1,75995,86897,6.8483898639678955,0
graph01,1,1,95678,109393,7.075090169906616,0
graph01,1,1,190230,217473,25.120149850845337,0
graph01,1,1,135276,154657,12.157537460327148,0
graph01,1,1,168371,192497,21.540817260742188,0
graph01,1,1,192440,219937,25.737390995025635,0
graph01,1,1,160366,183329,17.285564184188843,0
graph02,2,1,239253,92177,12.797831535339355,1
graph02,2,1,196034,75761,8.603417873382568,1
graph02,2,1,238059,91681,10.666945457458496,1
graph02,2,1,410677,157313,32.11455297470093,1
graph02,2,1,214444,82817,9.867215633392334,1
graph02,2,1,294569,113153,15.927757501602173,1
graph02,2,1,291024,111873,16.62068819999695,1
graph02,2,1,340388,130577,21.89422035217285,1
graph02,2,1,244278,94113,12.15959620475769,1
graph02,2,1,307018,117953,15.885137796401978,1
graph02,2,1,412776,158129,32.021953105926514,1
graph02,2,1,359173,137665,22.81500816345215,1
graph02,2,1,244709,94353,11.076366901397705,1
graph02,2,1,351300,134753,22.88867712020874,1
graph02,2,1,138484,53921,5.246917009353638,1
graph02,2,1,248975,95905,11.445943832397461,1
graph02,2,1,229874,88673,9.881569385528564,1
graph02,2,1,306687,117777,18.837393760681152,1
graph02,2,1,245343,94433,11.154280424118042,1
graph02,2,1,233414,90081,9.206767320632935,1
graph02,2,1,355631,136401,22.291581869125366,1
graph02,2,1,341391,130881,19.676732778549194,1
graph02,2,1,403674,154593,30.661715507507324,1
graph02,2,1,360936,138241,24.027756214141846,1
graph02,2,1,398102,152481,27.837978839874268,1
graph02,2,1,317333,121825,19.984385013580322,1
graph02,2,1,230145,88769,10.944719552993774,1
graph02,2,1,227990,87937,8.750838994979858,1
graph02,2,1,314394,120657,17.62859606742859,1
graph02,2,1,273595,105297,14.472832679748535,1
graph02,2,1,403412,154337,29.258885145187378,1
graph02,2,1,172451,66833,6.017414808273315,1
graph02,2,1,146323,56865,4.600996494293213,1
graph02,2,1,299009,114801,15.961240768432617,1
graph02,2,1,170094,65953,5.841548681259155,1
graph02,2,1,211728,81665,9.54300045967102,1
graph02,2,1,350517,134465,20.626561880111694,1
graph02,2,1,346243,132913,20.104485511779785,1
graph02,2,1,385433,147649,25.99690556526184,1
graph02,2,1,287534,110577,15.851797342300415,1
graph02,2,1,194237,75089,9.341411113739014,1
graph02,2,1,290041,111345,14.06079912185669,1
graph02,2,1,186727,72241,6.886797666549683,1
graph02,2,1,199304,76961,9.688161611557007,1
graph02,2,1,320377,122897,19.198376417160034,1
graph02,2,1,355755,136385,24.278072118759155,1
graph02,2,1,354551,135985,22.683472871780396,1
graph02,2,1,249056,96017,10.65373182296753,1
graph02,2,1,249950,96225,13.7273588180542,1
graph02,2,1,284297,109249,15.84959101676941,1
graph02,2,1,338734,129889,19.537431478500366,1
graph02,2,1,367770,140865,25.105803966522217,1
graph02,2,1,370164,141825,26.632758855819702,1
graph02,2,1,336522,129137,21.16291356086731,1
graph02,2,1,271376,104289,14.42966604232788,1
graph02,2,1,412859,158097,30.766688585281372,1
graph02,2,1,285742,109665,16.781752824783325,1
graph02,2,1,275328,105793,16.00399684906006,1
graph02,2,1,329659,126593,19.399746656417847,1
graph02,2,1,281729,108289,16.443491458892822,1
graph02,2,1,238125,91793,9.581741571426392,1
graph02,2,1,221672,85409,10.36746335029602,1
graph02,2,1,285492,109697,13.733112573623657,1
graph02,2,1,296269,113777,17.835997343063354,1
graph02,2,1,369528,141569,24.127817392349243,1
graph02,2,1,254200,97761,12.918116331100464,1
graph02,2,1,372161,142593,25.56866717338562,1
graph02,2,1,238868,92017,10.694917917251587,1
graph02,2,1,252444,97265,11.854920387268066,1
graph02,2,1,255053,98193,11.139409303665161,1
graph02,2,1,211667,81665,8.65025806427002,1
graph02,2,1,407099,156001,29.509187698364258,1
graph02,2,1,291654,112065,16.4982852935791,1
graph02,2,1,188107,72753,8.102219104766846,1
graph02,2,1,336990,129377,20.387840270996094,1
graph02,2,1,404595,154881,27.89590311050415,1
graph02,2,1,138559,53921,4.2563605308532715,1
graph02,2,1,187547,72529,7.1814939975738525,1
graph02,2,1,322621,123809,18.662214517593384,1
graph02,2,1,152607,59265,4.953793525695801,1
graph02,2,1,169049,65585,5.8751540184021,1
graph02,2,1,262320,100945,13.74255657196045,1
graph02,2,1,256109,98593,13.111289739608765,1
graph02,2,1,358245,137393,22.920003652572632,1
graph02,2,1,284793,109425,15.702990055084229,1
graph02,2,1,163699,63553,5.547032356262207,1
