Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph01,1,1,119607,140576,11.274305582046509,0
graph01,1,1,98027,124912,6.7484283447265625,0
graph01,1,1,119031,140576,10.620121002197266,0
graph01,1,1,205298,253624,29.913482427597046,0
graph01,1,1,107253,124912,10.816237211227417,0
graph01,1,1,147338,178016,15.78155779838562,0
graph01,1,1,145521,178016,15.398947715759277,0
graph01,1,1,170185,200312,19.768494367599487,0
graph01,1,1,122108,158192,13.089999437332153,0
graph01,1,1,153483,178016,17.995119333267212,0
graph01,1,1,206339,253624,30.089258432388306,0
graph01,1,1,179529,225400,24.160173416137695,0
graph01,1,1,122337,158192,12.20757246017456,0
graph01,1,1,175667,225400,22.286451816558838,0
graph01,1,1,69223,87616,4.298918962478638,0
graph01,1,1,124500,158192,12.593469858169556,0
graph01,1,1,114924,140576,11.044631242752075,0
graph01,1,1,153338,178016,16.075419425964355,0
graph01,1,1,122679,158192,12.262120008468628,0
graph01,1,1,116727,140576,11.307222604751587,0
graph01,1,1,177806,225400,22.75302767753601,0
graph01,1,1,170721,200312,21.058358430862427,0
graph01,1,1,201852,253624,30.52340054512024,0
graph01,1,1,180460,225400,24.707458972930908,0
graph01,1,1,199043,253624,28.44670271873474,0
graph01,1,1,158654,200312,18.542339086532593,0
graph01,1,1,115105,140576,11.069908618927002,0
graph01,1,1,113962,140576,9.906030893325806,0
graph01,1,1,157224,200312,16.953937530517578,0
graph01,1,1,136799,178016,14.811412334442139,0
graph01,1,1,201688,253624,28.990715503692627,0
graph01,1,1,86207,110992,5.072126865386963,0
graph01,1,1,73170,87616,3.652104616165161,0
graph01,1,1,149522,178016,17.361250638961792,0
graph01,1,1,85059,98616,6.886366367340088,0
graph01,1,1,105877,124912,8.595674276351929,0
graph01,1,1,175258,225400,23.886396884918213,0
graph01,1,1,173103,225400,23.402217626571655,0
graph01,1,1,192755,225400,27.43724536895752,0
graph01,1,1,143779,178016,15.997023105621338,0
graph01,1,1,97141,124912,7.402317047119141,0
graph01,1,1,145010,178016,16.37464189529419,0
graph01,1,1,93415,110992,6.913800954818726,0
graph01,1,1,99634,124912,6.711369276046753,0
graph01,1,1,160208,200312,17.423593997955322,0
graph01,1,1,177892,225400,22.96817374229431,0
graph01,1,1,177275,225400,22.42933988571167,0
graph01,1,1,124527,158192,12.632235288619995,0
graph01,1,1,124942,158192,13.685531854629517,0
graph01,1,1,142194,178016,15.724991798400879,0
graph01,1,1,169368,200312,22.573768138885498,0
graph01,1,1,183929,225400,24.062371730804443,0
graph01,1,1,185048,225400,24.39347767829895,0
graph01,1,1,168297,200312,19.254523038864136,0
graph01,1,1,135669,158192,12.479952096939087,0
graph01,1,1,206448,253624,30.113686323165894,0
graph01,1,1,142863,178016,16.817485809326172,0
graph01,1,1,137667,178016,14.723255395889282,0
graph01,1,1,164834,200312,21.161796808242798,0
graph01,1,1,140888,178016,15.36115837097168,0
graph01,1,1,119049,140576,10.617423057556152,0
graph01,1,1,110845,140576,10.290448904037476,0
graph01,1,1,142722,178016,15.743727684020996,0
graph01,1,1,148112,178016,16.949928998947144,0
graph01,1,1,184750,225400,24.179893493652344,0
graph01,1,1,127105,158192,10.866783857345581,0
graph01,1,1,186046,225400,24.378634214401245,0
graph01,1,1,119446,140576,12.611374378204346,0
graph01,1,1,126158,158192,11.708550930023193,0
graph01,1,1,127519,158192,12.923476457595825,0
graph01,1,1,105834,124912,10.560821294784546,0
graph01,1,1,203500,253624,29.072139978408813,0
graph01,1,1,145832,178016,15.343498706817627,0
graph01,1,1,94074,110992,8.95500111579895,0
graph01,1,1,168469,200312,20.344663858413696,0
graph01,1,1,202272,253624,28.63324499130249,0
graph01,1,1,69276,87616,5.245431900024414,0
graph01,1,1,93761,110992,6.88408088684082,0
graph01,1,1,161296,200312,18.555229425430298,0
graph01,1,1,76315,98616,4.909132480621338,0
graph01,1,1,84497,98616,6.825994968414307,0
graph01,1,1,131183,158192,13.668178796768188,0
graph01,1,1,128075,158192,12.047080993652344,0
graph01,1,1,179112,225400,23.863865613937378,0
graph01,1,1,142374,178016,15.768983602523804,0
graph01,1,1,81826,98616,6.5258629322052,0
graph01,1,1,96670,124912,8.334072351455688,0
graph01,1,1,125176,158192,12.581387996673584,0
graph01,1,1,131251,158192,14.683526515960693,0
graph01,1,1,84983,98616,4.8685057163238525,0
graph01,1,1,113161,140576,8.647489309310913,0
graph01,1,1,176432,225400,22.256741523742676,0
graph01,1,1,189234,225400,26.373687028884888,0
graph01,1,1,75995,98616,4.921949625015259,0
graph01,1,1,95678,110992,8.23092007637024,0
graph01,1,1,190230,225400,27.80674648284912,0
graph01,1,1,135276,158192,13.473069190979004,0
graph01,1,1,168371,200312,19.499306440353394,0
graph01,1,1,192440,225400,25.20216417312622,0
graph01,1,1,160366,200312,19.655555963516235,0
graph02,2,1,239253,92120,10.905964136123657,1
graph02,2,1,196034,75695,7.8569324016571045,1
graph02,2,1,238059,91618,11.680103302001953,1
graph02,2,1,410677,157303,31.011531829833984,1
graph02,2,1,214444,82774,8.863872289657593,1
graph02,2,1,294569,113113,15.855495691299438,1
graph02,2,1,291024,111848,16.52640676498413,1
graph02,2,1,340388,130529,20.803911447525024,1
graph02,2,1,244278,94086,11.185265302658081,1
graph02,2,1,307018,117904,18.03893780708313,1
graph02,2,1,412776,158082,29.56186532974243,1
graph02,2,1,359173,137620,25.179344415664673,1
graph02,2,1,244709,94337,11.282941579818726,1
graph02,2,1,351300,134736,24.314234733581543,1
graph02,2,1,138484,53835,6.335870742797852,1
graph02,2,1,248975,95860,12.637129068374634,1
graph02,2,1,229874,88618,11.175064325332642,1
graph02,2,1,306687,117755,17.147669315338135,1
graph02,2,1,245343,94401,11.39412784576416,1
graph02,2,1,233414,90013,11.540116310119629,1
graph02,2,1,355631,136361,22.97944736480713,1
graph02,2,1,341391,130888,21.14435052871704,1
graph02,2,1,403674,154540,29.202430963516235,1
graph02,2,1,360936,138218,24.835757970809937,1
graph02,2,1,398102,152384,30.498372554779053,1
graph02,2,1,317333,121765,19.531447172164917,1
graph02,2,1,230145,88753,11.132237195968628,1
graph02,2,1,227990,87896,10.94036054611206,1
graph02,2,1,314394,120620,17.004699230194092,1
graph02,2,1,273595,105260,13.84635305404663,1
graph02,2,1,403412,154302,30.189563274383545,1
graph02,2,1,172451,66771,6.093890190124512,1
graph02,2,1,146323,56841,3.674622058868408,1
graph02,2,1,299009,114772,15.468229532241821,1
graph02,2,1,170094,65944,5.931217908859253,1
graph02,2,1,211728,81654,8.642290592193604,1
graph02,2,1,350517,134419,20.952940464019775,1
graph02,2,1,346243,132877,23.464748859405518,1
graph02,2,1,385433,147561,28.446110725402832,1
graph02,2,1,287534,110509,16.071577787399292,1
graph02,2,1,194237,75004,9.42011308670044,1
graph02,2,1,290041,111342,17.453484535217285,1
graph02,2,1,186727,72227,7.9431233406066895,1
graph02,2,1,199304,76940,8.766203880310059,1
graph02,2,1,320377,122868,20.474241971969604,1
graph02,2,1,355755,136334,23.686044454574585,1
graph02,2,1,354551,135965,23.583573818206787,1
graph02,2,1,249056,95970,12.681147575378418,1
graph02,2,1,249950,96190,11.677245140075684,1
graph02,2,1,284297,109212,15.767662763595581,1
graph02,2,1,338734,129840,20.5501389503479,1
graph02,2,1,367770,140851,26.22916865348816,1
graph02,2,1,370164,141775,26.6130428314209,1
graph02,2,1,336522,129134,21.329853773117065,1
graph02,2,1,271376,104253,13.533721208572388,1
graph02,2,1,412859,158067,31.075822830200195,1
graph02,2,1,285742,109642,15.891874074935913,1
graph02,2,1,275328,105748,14.807760953903198,1
graph02,2,1,329659,126596,20.420984029769897,1
graph02,2,1,281729,108271,15.445231437683105,1
graph02,2,1,238125,91764,11.688013553619385,1
graph02,2,1,221672,85374,11.357468128204346,1
graph02,2,1,285492,109682,14.868841171264648,1
graph02,2,1,296269,113721,16.071025609970093,1
graph02,2,1,369528,141544,26.196245670318604,1
graph02,2,1,254200,97739,14.012853622436523,1
graph02,2,1,372161,142563,24.59633994102478,1
graph02,2,1,238868,91941,10.634622812271118,1
graph02,2,1,252444,97197,12.76526427268982,1
graph02,2,1,255053,98249,13.991147518157959,1
