Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
anonimizedGraph01,1,1,119616,200401,19.778663873672485,0
anonimizedGraph01,1,1,98032,164289,19.90226697921753,0
anonimizedGraph01,1,1,119040,199537,28.84843397140503,0
anonimizedGraph01,1,1,205312,343953,34.86512804031372,0
anonimizedGraph01,1,1,107264,179777,16.665611028671265,0
anonimizedGraph01,1,1,147344,246865,23.730245113372803,0
anonimizedGraph01,1,1,145536,243841,24.516999006271362,0
anonimizedGraph01,1,1,170192,285073,29.601173877716064,0
anonimizedGraph01,1,1,122112,204689,16.00614905357361,0
anonimizedGraph01,1,1,153488,257201,24.466506004333496,0
anonimizedGraph01,1,1,206352,345761,32.06794500350952,0
anonimizedGraph01,1,1,179536,300977,25.902753114700317,0
anonimizedGraph01,1,1,122352,205025,19.07030415534973,0
anonimizedGraph01,1,1,175680,294369,24.385231971740723,0
anonimizedGraph01,1,1,69232,116065,16.01588487625122,0
anonimizedGraph01,1,1,124512,208657,18.28710389137268,0
anonimizedGraph01,1,1,114928,192577,24.355677843093872,0
anonimizedGraph01,1,1,153344,256929,26.45407485961914,0
anonimizedGraph01,1,1,122688,205617,17.058849096298218,0
anonimizedGraph01,1,1,116736,195601,16.5004620552063,0
anonimizedGraph01,1,1,177808,297969,28.71060872077942,0
anonimizedGraph01,1,1,170736,286081,28.740129947662354,0
anonimizedGraph01,1,1,201856,338257,33.333866119384766,0
anonimizedGraph01,1,1,180464,302241,28.08178424835205,0
anonimizedGraph01,1,1,199056,333377,25.907317876815796,0
anonimizedGraph01,1,1,158656,265921,28.132210969924927,0
anonimizedGraph01,1,1,115120,192961,23.593848943710327,0
anonimizedGraph01,1,1,113968,191041,19.275470972061157,0
anonimizedGraph01,1,1,157232,263489,26.908055067062378,0
anonimizedGraph01,1,1,136800,229169,19.56830596923828,0
anonimizedGraph01,1,1,201696,337905,32.39595699310303,0
anonimizedGraph01,1,1,86208,144433,21.06824779510498,0
anonimizedGraph01,1,1,73184,122593,20.225443124771118,0
anonimizedGraph01,1,1,149536,250545,27.026355981826782,0
anonimizedGraph01,1,1,85072,142689,19.975820064544678,0
