Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph01,1,1,119607,153752,11.537207126617432,0
graph01,1,1,98027,121432,7.736323833465576,0
graph01,1,1,119031,153752,11.365745782852173,0
graph01,1,1,205298,246488,34.02118515968323,0
graph01,1,1,107253,136632,9.15260910987854,0
graph01,1,1,147338,173016,17.65275526046753,0
graph01,1,1,145521,173016,17.17245078086853,0
graph01,1,1,170185,219064,11.568930864334106,0
graph01,1,1,122108,153752,11.920590877532959,0
graph01,1,1,153483,194680,19.07168698310852,0
graph01,1,1,206339,246488,17.230159044265747,0
graph01,1,1,179529,219064,26.302407264709473,0
graph01,1,1,122337,153752,12.216103792190552,0
graph01,1,1,175667,219064,12.579289674758911,0
graph01,1,1,69223,85176,3.9571967124938965,0
graph01,1,1,124500,153752,12.65910816192627,0
graph01,1,1,114924,136632,5.384644269943237,0
graph01,1,1,153338,194680,9.618223905563354,0
graph01,1,1,122679,153752,6.1662609577178955,0
graph01,1,1,116727,136632,5.624084949493408,0
graph01,1,1,177806,219064,25.79431700706482,0
graph01,1,1,170721,219064,11.874541997909546,0
graph01,1,1,201852,246488,34.93547606468201,0
graph01,1,1,180460,219064,26.589346885681152,0
graph01,1,1,199043,246488,16.208547115325928,0
graph01,1,1,158654,194680,20.616183042526245,0
graph01,1,1,115105,136632,10.842959880828857,0
graph01,1,1,113962,136632,5.384411811828613,0
graph01,1,1,157224,194680,20.22106695175171,0
graph01,1,1,136799,173016,7.652246952056885,0
graph01,1,1,201688,246488,16.649888038635254,0
graph01,1,1,86207,107896,6.169234991073608,0
graph01,1,1,73170,85176,4.423332214355469,0
graph01,1,1,149522,194680,9.089397668838501,0
graph01,1,1,85059,107896,5.869532823562622,0
graph01,1,1,105877,136632,9.201774835586548,0
graph01,1,1,175258,219064,12.599535942077637,0
graph01,1,1,173103,219064,24.42989993095398,0
graph01,1,1,192755,246488,30.204935312271118,0
graph01,1,1,143779,173016,8.404762268066406,0
graph01,1,1,97141,121432,7.674248933792114,0
graph01,1,1,145010,173016,17.15928602218628,0
graph01,1,1,93415,121432,7.133455038070679,0
graph01,1,1,99634,121432,4.033271074295044,0
graph01,1,1,160208,194680,20.90443181991577,0
graph01,1,1,177892,219064,25.833451986312866,0
graph01,1,1,177275,219064,12.800091981887817,0
graph01,1,1,124527,153752,12.646488189697266,0
graph01,1,1,124942,153752,6.3616392612457275,0
graph01,1,1,142194,173016,16.552494049072266,0
graph01,1,1,169368,219064,23.494888067245483,0
graph01,1,1,183929,219064,28.323961973190308,0
graph01,1,1,185048,219064,28.08464503288269,0
graph01,1,1,168297,219064,23.007540941238403,0
